"Site_ID","Abudefduf saxatilis","Abudefduf taurus","Acanthostracion polygonium","Acanthostracion quadricornis","Acanthurus bahianus","Acanthurus chirurgus","Acanthurus coeruleus","Aluterus scriptus","Anisotremus virginicus","Aulostomus maculatus","Azurina cyanea","Azurina multilineata","Balistes vetula","Bodianus rufus","Calamus calamus","Calamus penna","Calamus pennatula","Cantherhines macrocerus","Cantherhines pullus","Canthigaster rostrata","Caranx bartholomaei","Caranx latus","Caranx ruber","Carcharhinus perezii","Cephalopholis cruentata","Cephalopholis fulva","Chaetodon capistratus","Chaetodon ocellatus","Chaetodon striatus","Clepticus parrae","Corvula batabana","Coryphopterus dicrus","Diodon hystrix","Epinephelus adscensionis","Epinephelus guttatus","Epinephelus striatus","Equetus punctatus","Eucinostomus gula","Ginglymostoma cirratum","Gramma loreto","Gymnothorax funebris","Gymnothorax moringa","Haemulon aurolineatum","Haemulon carbonarium","Haemulon flavolineatum","Haemulon plumierii","Haemulon sciurus","Halichoeres bivittatus","Halichoeres garnoti","Halichoeres radiatus","Holacanthus ciliaris","Holacanthus tricolor","Holocentrus adscensionis","Holocentrus rufus","Hypanus americanus","Hypoplectrus puella","Kyphosus sectatrix","Lachnolaimus maximus","Lactophrys bicaudalis","Lactophrys trigonus","Lactophrys triqueter","Lutjanus apodus","Lutjanus griseus","Lutjanus mahogoni","Lutjanus synagris","Malacanthus plumieri","Melichthys niger","Microspathodon chrysurus","Mulloidichthys martinicus","Mycteroperca interstitialis","Mycteroperca venenosa","Myripristis jacobus","Ocyurus chrysurus","Opistognathus aurifrons","Pomacanthus arcuatus","Pomacanthus paru","Pseudupeneus maculatus","Pterois volitans","Scarus iseri","Scarus taeniopterus","Scarus vetula","Scorpaena plumieri","Serranus tabacarius","Serranus tigrinus","Serranus tortugarum","Sparisoma aurofrenatum","Sparisoma rubripinne","Sparisoma viride","Sphoeroides spengleri","Sphyraena barracuda","Stegastes adustus","Stegastes diencaeus","Stegastes leucostictus","Stegastes partitus","Stegastes planifrons","Stegastes variabilis","Synodus intermedius","Thalassoma bifasciatum","Fish_abundance","Fish_richness","Fish_density","Year","Site"
"2020-Moonscape",49,0,0,1,0,2,10,0,0,0,130,267,1,0,0,0,0,0,0,2,2,0,0,0,0,1,4,0,17,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,52,3,0,0,0,0,2,1,46,0,1,0,0,0,1,0,0,42,1,0,0,0,0,0,111,0,0,0,7,0,0,0,20,0,0,1,3,0,0,0,0,0,0,5,0,2,0,0,0,30,0,0,0,0,817,33,2.72333333333333,"2020","Moonscape"
"2020-Proselyte Reef",150,0,0,0,0,1,61,0,0,0,100,100,8,0,1,0,0,0,0,0,1,4,3,0,3,6,13,1,9,2,0,0,0,1,2,2,0,0,0,2,0,0,2,4,26,0,0,0,9,0,5,1,32,0,0,0,0,0,2,0,0,24,4,0,0,0,0,0,10,1,0,0,8,0,0,0,3,3,0,6,6,0,0,9,0,0,0,14,0,2,0,0,0,50,0,0,0,0,691,42,2.30333333333333,"2020","Proselyte Reef"
"2020-Shark Hotel",20,0,0,2,0,0,34,1,0,0,90,51,0,0,1,0,0,0,0,1,0,0,1,1,0,1,11,1,13,0,0,0,0,0,3,1,0,0,0,0,0,0,0,2,17,2,0,0,3,3,1,0,1,0,0,0,0,0,0,0,0,16,0,0,0,0,0,7,2,0,0,0,8,0,0,2,2,0,0,7,7,0,2,0,1,0,0,11,0,0,0,0,0,9,0,0,0,0,335,36,1.11666666666667,"2020","Shark Hotel"
"2023-Fish Bowl",0,0,0,0,0,27,7,0,1,1,19,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7,7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,6,0,0,0,170,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,2,10,0,0,0,0,0,41,20,0,1,0,338,24,1.12666666666667,"2023","Fish Bowl"
"2023-Frenchman Reef",94,6,1,0,87,0,3,0,0,0,3,64,1,2,0,0,3,0,1,1,0,0,0,0,0,2,10,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,49,1,140,0,1,0,1,1,1,0,5,0,0,0,0,0,0,0,3,0,0,1,1,0,0,4,0,0,0,1,0,0,1,0,12,1,8,0,1,0,0,0,0,2,8,22,0,0,3,6,3,26,0,3,0,263,857,44,2.85666666666667,"2023","Frenchman Reef"
"2023-Long Bay Reef",0,0,0,0,3,7,8,0,0,1,57,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,3,0,0,1,0,2,0,1,0,1,1,0,0,0,85,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,22,27,0,0,12,295,25,0.983333333333333,"2023","Long Bay Reef"
"2023-Mikes Mazes",80,0,3,0,0,0,30,0,0,1,57,15,4,0,2,0,0,0,0,0,0,5,0,0,2,4,6,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,1,0,7,2,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,5,0,0,1,0,0,4,17,0,1,0,0,0,0,0,0,0,0,271,29,0.903333333333333,"2023","Mikes Mazes"
"2023-Moonscape",0,0,1,2,0,14,6,0,0,3,5,34,0,1,0,1,0,0,0,0,0,0,8,0,1,1,2,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,76,0,0,0,18,0,2,0,0,3,0,0,0,0,0,0,0,111,0,0,0,0,0,0,6,0,0,0,13,0,1,3,20,2,0,0,5,0,0,0,0,0,0,12,0,0,0,0,0,1,1,0,0,3,365,33,1.21666666666667,"2023","Moonscape"
"2023-Proselyte Reef",37,0,0,0,0,0,5,0,0,0,30,130,0,2,0,0,0,0,0,0,0,0,1,0,3,4,4,3,3,0,0,0,0,0,4,0,0,0,0,1,0,0,2,6,20,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,1,2,0,0,2,0,0,0,5,0,2,0,0,0,2,3,0,0,0,303,30,1.01,"2023","Proselyte Reef"
"2023-Shark Hotel",30,0,1,0,0,17,11,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,2,0,6,5,10,5,4,2,0,0,0,2,7,2,0,0,0,1,0,0,0,3,30,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,3,5,0,0,2,0,0,0,15,0,0,0,0,0,6,1,0,0,0,339,31,1.13,"2023","Shark Hotel"
